301,"adarsh","kumar","singh","adarsh@kumar","8197416336",13/09/1983
302,amit,kumar,singh,"amit@kumar",9902323891,04/01/1986
303,radha,,singh,"radha@singh",9902370891,05/04/1986
304,adarsh,kumar,singh,"adarsh@kumar",8197416336,13/09/1983
305,amit,kumar,singh,"amit@kumar",9902323891,04/01/1986
306,radha,,singh,"radha@singh",9902370891,05/04/1986
307,adarsh,kumar,singh,adarsh@kumar,8197416336,13/09/1983
308,amit,kumar,singh,amit@kumar,9902323891,04/01/1986
309,radha,,singh,radha@singh,9902370891,05/04/1986
310,adarsh,kumar,singh,adarsh@kumar,8197416336,13/09/1983
